name,val,group,cread,cwrite,cdesc,iread,iwrite,idesc,type,dim,min,max,special range
ParameterIdCameraFeaturesIlluminationIntensity,0x20000290,CameraFeatures,x,x,illumination intensity (typically %),,,,int,1,0,max illum,
ParameterIdCameraFeaturesZPosition,0x200002A0,CameraFeatures,x,x,z drive control (focus),,,,int,1,min hardware,max hardware,"may be special value for ""find home"""
ParameterIdExposureControlMode,0x20000300,CameraFeatures,x,x,auto exposure control mode,,,,int,1,,,DijSDK_EExposureControlMode
ParameterIdExposureControlAlgorithm,0x20000302,CameraFeatures,x,,auto exposure control algorithm,,,,int,1,,,DijSDK_EExposureControlAlgorithm
ParameterIdExposureControlRoi,0x30000303,CameraFeatures,x,x,"auto exposure control roi shape, relative [x,y,w,h]",,,,double,4,0,1,
ParameterIdExposureControlBrightnessPercentage,0x20000304,CameraFeatures,x,x,auto exposure brightness %,,,,int,1,0,100,
ParameterIdExposureControlExposureLimits,0x20000305,CameraFeatures,x,x,"limits of auto exposure time, max first, then min",,,,int,2,min cam,max cam,
ParameterIdExposureControlMaxExposure,,,,,ALIAS FOR ParameterIdExposureControlExposureLimits,,,,,,,,
ParameterIdExposureControlGainLimits,0x30000306,CameraFeatures,x,x,"limits of auto exposure gain, max first, then min",,,,int,2,min cam,max cam,
ParameterIdExposureControlMaxGain,,,,,ALIAS FOR ParameterIdExposureControlExposureLimits,,,,,,,,
ParameterIdExposureControlMaxOePercentage,0x2000030A,CameraFeatures,x,x,max over-exposure %,,,,int,2,0,100,
ParameterIdExposureControlStatus,0x2000030F,CameraFeatures,x,,check status of auto exposure control,,,,int,1,,,DijSDK_EExposureControlStatus
ParameterIdGlobalSettingsCameraName,0x40000380,GlobalSettings,x,,camera name,,,,char,1,,,
ParameterIdGlobalSettingsCameraSerialNumber,0x40000381,GlobalSettings,x,,camera serial number,,,,char,1,,,
ParameterIdGlobalSettingsOpenCameraWarning,0x20000382,GlobalSettings,x,,reason for warning from DijSDK_OpenCamera(),,,,int,1,,,DijSDK_EOpenCameraWarning
ParameterIdGlobalSettingsCameraBoardNumber,0x40000386,GlobalSettings,x,,camera pcb tag,,,,char,1,,,
ParameterIdGlobalSettingsApiLoggerFileName,0x4000038A,GlobalSettings,x,,"logs api calls to file while value is valid file name, set to NULL to stop logging",,,,char,1,,,valid filename
ParameterIdGlobalSettingsErrorLoggerFileName,0x4000038B,GlobalSettings,x,,"logs errors to file while value is valid filename, set to NULL to stop logging",,,,char,1,,,valid filename
ParameterIdFactorySettingsDefaultFirmwareUpdateFile,0x40000400,FactorySettingsDefault,x,,read name of extern firmware update file,,,,char,1,,,valid filename
ParameterIdCustomerSettingsCustomerName,0x40000500,FactorySettingsDefault,x,x,name of customer of device,,,,char,1,,,
ParameterIdCustomerSettingsUserValue1,0x40000501,FactorySettingsDefault,x,x,user value 1,,,,char,1,,,
ParameterIdCustomerSettingsUserValue2,0x40000502,FactorySettingsDefault,x,x,user value 2,,,,char,1,,,
ParameterIdCustomerSettingsUserValue3,0x40000503,FactorySettingsDefault,x,x,user value 3,,,,char,1,,,
ParameterIdCustomerSettingsUserValue4,0x40000504,FactorySettingsDefault,x,x,user value 4,,,,char,1,,,
